Salary,Season,Player,Link,Team Name
"$19,000,000",2015-16,Paul Millsap,ATL,AtlantaHawks
"$12,000,000",2015-16,Al Horford,ATL,AtlantaHawks
"$8,500,000",2015-16,Tiago Splitter,ATL,AtlantaHawks
"$8,000,000",2015-16,Jeff Teague,ATL,AtlantaHawks
"$5,746,479",2015-16,Kyle Korver,ATL,AtlantaHawks
"$4,000,000",2015-16,Thabo Sefolosha,ATL,AtlantaHawks
"$3,333,333",2015-16,Mike Scott,ATL,AtlantaHawks
"$2,433,333",2015-16,Shelvin Mack,ATL,AtlantaHawks
"$2,000,000",2015-16,Kent Bazemore,ATL,AtlantaHawks
"$1,763,400",2015-16,Dennis Schroder,ATL,AtlantaHawks
"$1,304,520",2015-16,Tim Hardaway,ATL,AtlantaHawks
"$1,000,000",2015-16,Walter Tavares,ATL,AtlantaHawks
"$947,300",2015-16,Justin Holiday,ATL,AtlantaHawks
"$947,276",2015-16,Mike Muscala,ATL,AtlantaHawks
"$525,093",2015-16,Lamar Patterson,ATL,AtlantaHawks
"$75,000",2015-16,Terran Petteway,ATL,AtlantaHawks
"$12,000,000",2014-15,Al Horford,ATL,AtlantaHawks
"$9,500,000",2014-15,Paul Millsap,ATL,AtlantaHawks
"$8,000,000",2014-15,Jeff Teague,ATL,AtlantaHawks
"$6,253,521",2014-15,Kyle Korver,ATL,AtlantaHawks
"$4,150,000",2014-15,Thabo Sefolosha,ATL,AtlantaHawks
"$3,333,333",2014-15,Mike Scott,ATL,AtlantaHawks
"$2,442,455",2014-15,DeMarre Carroll,ATL,AtlantaHawks
"$2,433,333",2014-15,Shelvin Mack,ATL,AtlantaHawks
"$2,000,000",2014-15,Kent Bazemore,ATL,AtlantaHawks
"$2,000,000",2014-15,Elton Brand,ATL,AtlantaHawks
"$1,690,680",2014-15,Dennis Schroder,ATL,AtlantaHawks
"$1,312,920",2014-15,John Jenkins,ATL,AtlantaHawks
"$1,250,000",2014-15,Pero Antic,ATL,AtlantaHawks
"$1,000,000",2014-15,John Salmons,ATL,AtlantaHawks
"$816,482",2014-15,Mike Muscala,ATL,AtlantaHawks
"$125,104",2014-15,Austin Daye,ATL,AtlantaHawks
"$29,843",2014-15,Jarell Eddie,ATL,AtlantaHawks
"$12,000,000",2013-14,Al Horford,ATL,AtlantaHawks
"$9,500,000",2013-14,Paul Millsap,ATL,AtlantaHawks
"$8,000,000",2013-14,Jeff Teague,ATL,AtlantaHawks
"$6,760,563",2013-14,Kyle Korver,ATL,AtlantaHawks
"$5,225,000",2013-14,Louis Williams,ATL,AtlantaHawks
"$4,000,000",2013-14,Elton Brand,ATL,AtlantaHawks
"$2,557,545",2013-14,DeMarre Carroll,ATL,AtlantaHawks
"$1,500,000",2013-14,Gustavo Ayon,ATL,AtlantaHawks
"$1,348,200",2013-14,Dennis Schroeder,ATL,AtlantaHawks
"$1,258,800",2013-14,John Jenkins,ATL,AtlantaHawks
"$1,208,400",2013-14,Jared Cunningham,ATL,AtlantaHawks
"$884,293",2013-14,Shelvin Mack,ATL,AtlantaHawks
"$788,872",2013-14,Mike Scott,ATL,AtlantaHawks
"$100,000",2013-14,Jeremy Tyler,ATL,AtlantaHawks
"$13,200,000",2012-13,Josh Smith,ATL,AtlantaHawks
"$12,000,000",2012-13,Al Horford,ATL,AtlantaHawks
"$8,500,000",2012-13,Devin Harris,ATL,AtlantaHawks
"$5,248,750",2012-13,Zaza Pachulia,ATL,AtlantaHawks
"$5,000,000",2012-13,Kyle Korver,ATL,AtlantaHawks
"$5,000,000",2012-13,Louis Williams,ATL,AtlantaHawks
"$3,500,000",2012-13,Johan Petro,ATL,AtlantaHawks
"$2,900,000",2012-13,Dahntay Jones,ATL,AtlantaHawks
"$2,433,077",2012-13,Jeff Teague,ATL,AtlantaHawks
"$2,240,450",2012-13,DeShawn Stevenson,ATL,AtlantaHawks
"$1,500,000",2012-13,Jordan Farmar,ATL,AtlantaHawks
"$1,204,560",2012-13,John Jenkins,ATL,AtlantaHawks
"$962,195",2012-13,Ivan Johnson,ATL,AtlantaHawks
"$915,852",2012-13,Anthony Tolliver,ATL,AtlantaHawks
"$762,195",2012-13,Jeremy Tyler,ATL,AtlantaHawks
"$762,195",2012-13,Jordan Williams,ATL,AtlantaHawks
"$473,604",2012-13,Mike Scott,ATL,AtlantaHawks
"$165,487",2012-13,Jannero Pargo,ATL,AtlantaHawks
"$18,038,573",2011-12,Joe Johnson,ATL,AtlantaHawks
"$12,400,000",2011-12,Josh Smith,ATL,AtlantaHawks
"$12,000,000",2011-12,Al Horford,ATL,AtlantaHawks
"$8,100,000",2011-12,Kirk Hinrich,ATL,AtlantaHawks
"$7,500,000",2011-12,Marvin Williams,ATL,AtlantaHawks
"$4,750,000",2011-12,Zaza Pachulia,ATL,AtlantaHawks
"$1,579,920",2011-12,Jeff Teague,ATL,AtlantaHawks
"$1,352,181",2011-12,Jerry Stackhouse,ATL,AtlantaHawks
"$1,352,181",2011-12,Vladimir Radmanovic,ATL,AtlantaHawks
"$1,352,181",2011-12,Tracy McGrady,ATL,AtlantaHawks
"$1,352,181",2011-12,Jason Collins,ATL,AtlantaHawks
"$1,223,166",2011-12,Willie Green,ATL,AtlantaHawks
"$1,223,166",2011-12,Jannero Pargo,ATL,AtlantaHawks
"$850,522",2011-12,Erick Dampier,ATL,AtlantaHawks
"$473,604",2011-12,Ivan Johnson,ATL,AtlantaHawks
"$122,237",2011-12,Donald Sloan,ATL,AtlantaHawks
"$16,324,500",2010-11,Joe Johnson,ATL,AtlantaHawks
"$11,600,000",2010-11,Josh Smith,ATL,AtlantaHawks
"$10,800,000",2010-11,Jamal Crawford,ATL,AtlantaHawks
"$9,000,000",2010-11,Kirk Hinrich,ATL,AtlantaHawks
"$6,712,500",2010-11,Marvin Williams,ATL,AtlantaHawks
"$5,444,857",2010-11,Al Horford,ATL,AtlantaHawks
"$4,251,250",2010-11,Zaza Pachulia,ATL,AtlantaHawks
"$1,476,840",2010-11,Jeff Teague,ATL,AtlantaHawks
"$1,352,181",2010-11,Jason Collins,ATL,AtlantaHawks
"$1,223,166",2010-11,Etan Thomas,ATL,AtlantaHawks
"$1,069,609",2010-11,Josh Powell,ATL,AtlantaHawks
"$992,680",2010-11,Hilton Armstrong,ATL,AtlantaHawks
"$748,656",2010-11,Damien Wilkins,ATL,AtlantaHawks
"$473,604",2010-11,Pape Sy,ATL,AtlantaHawks
"$14,976,754",2009-10,Joe Johnson,ATL,AtlantaHawks
"$10,800,000",2009-10,Josh Smith,ATL,AtlantaHawks
"$9,360,000",2009-10,Jamal Crawford,ATL,AtlantaHawks
"$7,500,000",2009-10,Marvin Williams,ATL,AtlantaHawks
"$6,217,617",2009-10,Mike Bibby,ATL,AtlantaHawks
"$4,750,000",2009-10,Zaza Pachulia,ATL,AtlantaHawks
"$4,307,640",2009-10,Al Horford,ATL,AtlantaHawks
"$2,500,000",2009-10,Maurice Evans,ATL,AtlantaHawks
"$1,373,880",2009-10,Jeff Teague,ATL,AtlantaHawks
"$1,306,455",2009-10,Joe Smith,ATL,AtlantaHawks
"$1,181,803",2009-10,Jason Collins,ATL,AtlantaHawks
"$855,189",2009-10,Randolph Morris,ATL,AtlantaHawks
"$446,740",2009-10,Mario West,ATL,AtlantaHawks
"$307,564",2009-10,Othello Hunter,ATL,AtlantaHawks
"$14,983,603",2008-09,Mike Bibby,ATL,AtlantaHawks
"$14,232,567",2008-09,Joe Johnson,ATL,AtlantaHawks
"$10,000,000",2008-09,Josh Smith,ATL,AtlantaHawks
"$5,757,818",2008-09,Speedy Claxton,ATL,AtlantaHawks
"$5,636,143",2008-09,Marvin Williams,ATL,AtlantaHawks
"$4,026,720",2008-09,Al Horford,ATL,AtlantaHawks
"$4,000,000",2008-09,Zaza Pachulia,ATL,AtlantaHawks
"$2,500,000",2008-09,Maurice Evans,ATL,AtlantaHawks
"$2,071,680",2008-09,Acie Law,ATL,AtlantaHawks
"$1,500,000",2008-09,Ronald Murray,ATL,AtlantaHawks
"$797,581",2008-09,Solomon Jones,ATL,AtlantaHawks
"$797,581",2008-09,Randolph Morris,ATL,AtlantaHawks
"$711,517",2008-09,Thomas Gardner,ATL,AtlantaHawks
"$711,517",2008-09,Mario West,ATL,AtlantaHawks
"$442,114",2008-09,Othello Hunter,ATL,AtlantaHawks
"$13,500,000",2007-08,Mike Bibby,ATL,AtlantaHawks
"$13,488,377",2007-08,Joe Johnson,ATL,AtlantaHawks
"$6,306,182",2007-08,Speedy Claxton,ATL,AtlantaHawks
"$4,466,040",2007-08,Marvin Williams,ATL,AtlantaHawks
"$4,000,000",2007-08,Zaza Pachulia,ATL,AtlantaHawks
"$3,745,800",2007-08,Al Horford,ATL,AtlantaHawks
"$3,631,449",2007-08,Josh Childress,ATL,AtlantaHawks
"$2,243,543",2007-08,Josh Smith,ATL,AtlantaHawks
"$1,927,080",2007-08,Acie Law,ATL,AtlantaHawks
"$783,000",2007-08,Salim Stoudamire,ATL,AtlantaHawks
"$729,000",2007-08,Solomon Jones,ATL,AtlantaHawks
"$427,163",2007-08,Mario West,ATL,AtlantaHawks
"$253,499",2007-08,Jeremy Richardson,ATL,AtlantaHawks
"$12,744,189",2006-07,Joe Johnson,ATL,AtlantaHawks
"$6,854,546",2006-07,Speedy Claxton,ATL,AtlantaHawks
"$4,174,800",2006-07,Marvin Williams,ATL,AtlantaHawks
"$4,000,000",2006-07,Zaza Pachulia,ATL,AtlantaHawks
"$3,500,000",2006-07,Tyronn Lue,ATL,AtlantaHawks
"$3,250,000",2006-07,Lorenzen Wright,ATL,AtlantaHawks
"$2,952,840",2006-07,Shelden Williams,ATL,AtlantaHawks
"$2,863,920",2006-07,Josh Childress,ATL,AtlantaHawks
"$2,640,000",2006-07,Anthony Johnson,ATL,AtlantaHawks
"$1,460,640",2006-07,Josh Smith,ATL,AtlantaHawks
"$744,551",2006-07,Royal Ivey,ATL,AtlantaHawks
"$729,000",2006-07,Salim Stoudamire,ATL,AtlantaHawks
"$675,000",2006-07,Solomon Jones,ATL,AtlantaHawks
"$664,209",2006-07,Esteban Batista,ATL,AtlantaHawks
"$625,132",2006-07,Stanislav Medvedenko,ATL,AtlantaHawks
"$412,718",2006-07,Cedric Bozeman,ATL,AtlantaHawks
"$145,961",2006-07,Matt Freije,ATL,AtlantaHawks
"$89,101",2006-07,Dijon Thompson,ATL,AtlantaHawks
"$55,365",2006-07,Jeremy Richardson,ATL,AtlantaHawks
"$12,000,000",2005-06,Joe Johnson,ATL,AtlantaHawks
"$6,957,500",2005-06,Al Harrington,ATL,AtlantaHawks
"$4,000,000",2005-06,Zaza Pachulia,ATL,AtlantaHawks
"$3,883,560",2005-06,Marvin Williams,ATL,AtlantaHawks
"$3,500,000",2005-06,Tyronn Lue,ATL,AtlantaHawks
"$3,375,000",2005-06,Tony Delk,ATL,AtlantaHawks
"$2,677,200",2005-06,Josh Childress,ATL,AtlantaHawks
"$1,650,000",2005-06,Jason Collier,ATL,AtlantaHawks
"$1,365,360",2005-06,Josh Smith,ATL,AtlantaHawks
"$1,000,000",2005-06,John Edwards,ATL,AtlantaHawks
"$675,000",2005-06,Salim Stoudamire,ATL,AtlantaHawks
"$641,748",2005-06,Royal Ivey,ATL,AtlantaHawks
"$641,748",2005-06,Donta Smith,ATL,AtlantaHawks
"$398,762",2005-06,Esteban Batista,ATL,AtlantaHawks
"$178,675",2005-06,John Thomas,ATL,AtlantaHawks
"$14,625,000",2004-05,Antoine Walker,ATL,AtlantaHawks
"$6,325,000",2004-05,Al Harrington,ATL,AtlantaHawks
"$3,250,000",2004-05,Chris Crawford,ATL,AtlantaHawks
"$2,700,000",2004-05,Tony Delk,ATL,AtlantaHawks
"$2,550,000",2004-05,Predrag Drobnjak,ATL,AtlantaHawks
"$2,490,360",2004-05,Josh Childress,ATL,AtlantaHawks
"$1,800,000",2004-05,Jon Barry,ATL,AtlantaHawks
"$1,500,000",2004-05,Jason Collier,ATL,AtlantaHawks
"$1,300,000",2004-05,Kevin Willis,ATL,AtlantaHawks
"$1,270,080",2004-05,Josh Smith,ATL,AtlantaHawks
"$1,100,000",2004-05,Kenny Anderson,ATL,AtlantaHawks
"$1,097,640",2004-05,Boris Diaw,ATL,AtlantaHawks
"$425,000",2004-05,Royal Ivey,ATL,AtlantaHawks
"$425,000",2004-05,Donta Smith,ATL,AtlantaHawks
"$167,418",2004-05,Jelani McCoy,ATL,AtlantaHawks
"$34,118",2004-05,Anthony Miller,ATL,AtlantaHawks
"$13,500,000",2003-04,Shareef Abdur-Rahim,ATL,AtlantaHawks
"$11,100,000",2003-04,Terrell Brandon,ATL,AtlantaHawks
"$10,156,250",2003-04,Theo Ratliff,ATL,AtlantaHawks
"$8,333,333",2003-04,Jason Terry,ATL,AtlantaHawks
"$7,682,188",2003-04,Alan Henderson,ATL,AtlantaHawks
"$5,000,000",2003-04,Nazr Mohammed,ATL,AtlantaHawks
"$3,000,000",2003-04,Chris Crawford,ATL,AtlantaHawks
"$1,021,080",2003-04,Boris Diaw,ATL,AtlantaHawks
"$1,000,000",2003-04,Dion Glover,ATL,AtlantaHawks
"$1,000,000",2003-04,Stephen Jackson,ATL,AtlantaHawks
"$835,200",2003-04,Dan Dickau,ATL,AtlantaHawks
"$813,679",2003-04,Jacque Vaughn,ATL,AtlantaHawks
"$688,679",2003-04,Obinna Ekezie,ATL,AtlantaHawks
"$366,931",2003-04,Travis Hansen,ATL,AtlantaHawks
"$12,375,000",2002-03,Shareef Abdur-Rahim,ATL,AtlantaHawks
"$9,860,000",2002-03,Glenn Robinson,ATL,AtlantaHawks
"$9,375,000",2002-03,Theo Ratliff,ATL,AtlantaHawks
"$7,091,250",2002-03,Alan Henderson,ATL,AtlantaHawks
"$4,750,000",2002-03,Nazr Mohammed,ATL,AtlantaHawks
"$2,750,000",2002-03,Chris Crawford,ATL,AtlantaHawks
"$2,423,280",2002-03,DerMarr Johnson,ATL,AtlantaHawks
"$2,153,934",2002-03,Jason Terry,ATL,AtlantaHawks
"$1,584,312",2002-03,Dion Glover,ATL,AtlantaHawks
"$824,935",2002-03,Emanual Davis,ATL,AtlantaHawks
"$776,880",2002-03,Dan Dickau,ATL,AtlantaHawks
"$699,935",2002-03,Darvin Ham,ATL,AtlantaHawks
"$587,435",2002-03,Ira Newble,ATL,AtlantaHawks
"$170,716",2002-03,Matt Maloney,ATL,AtlantaHawks
"$143,277",2002-03,Amal McCaskill,ATL,AtlantaHawks
"$60,361",2002-03,Antonio Harvey,ATL,AtlantaHawks
"$55,402",2002-03,Mike Wilks,ATL,AtlantaHawks
"$29,832",2002-03,Paul Shirley,ATL,AtlantaHawks
"$11,250,000",2001-02,Shareef Abdur-Rahim,ATL,AtlantaHawks
"$9,667,969",2001-02,Theo Ratliff,ATL,AtlantaHawks
"$7,906,783",2001-02,Toni Kukoc,ATL,AtlantaHawks
"$6,500,312",2001-02,Alan Henderson,ATL,AtlantaHawks
"$4,500,000",2001-02,Nazr Mohammed,ATL,AtlantaHawks
"$2,500,000",2001-02,Chris Crawford,ATL,AtlantaHawks
"$2,265,240",2001-02,DerMarr Johnson,ATL,AtlantaHawks
"$1,689,360",2001-02,Jason Terry,ATL,AtlantaHawks
"$1,179,720",2001-02,Cal Bowdler,ATL,AtlantaHawks
"$1,027,440",2001-02,Dion Glover,ATL,AtlantaHawks
"$715,850",2001-02,Emanual Davis,ATL,AtlantaHawks
"$715,850",2001-02,Mark Strickland,ATL,AtlantaHawks
"$590,850",2001-02,Jacque Vaughn,ATL,AtlantaHawks
"$523,793",2001-02,Reggie Slater,ATL,AtlantaHawks
"$465,850",2001-02,Hanno Mottola,ATL,AtlantaHawks
"$26,190",2001-02,Dickey Simpkins,ATL,AtlantaHawks
"$14,400,000",2000-01,Dikembe Mutombo,ATL,AtlantaHawks
"$5,910,000",2000-01,Alan Henderson,ATL,AtlantaHawks
"$4,950,000",2000-01,Lorenzen Wright,ATL,AtlantaHawks
"$2,330,000",2000-01,Jim Jackson,ATL,AtlantaHawks
"$2,200,000",2000-01,Chris Crawford,ATL,AtlantaHawks
"$2,107,200",2000-01,DerMarr Johnson,ATL,AtlantaHawks
"$1,579,080",2000-01,Jason Terry,ATL,AtlantaHawks
"$1,200,000",2000-01,Anthony Johnson,ATL,AtlantaHawks
"$1,102,800",2000-01,Cal Bowdler,ATL,AtlantaHawks
"$978,600",2000-01,Roshown McLeod,ATL,AtlantaHawks
"$960,480",2000-01,Dion Glover,ATL,AtlantaHawks
"$611,000",2000-01,Matt Maloney,ATL,AtlantaHawks
"$611,000",2000-01,Larry Robinson,ATL,AtlantaHawks
"$316,969",2000-01,Hanno Mottola,ATL,AtlantaHawks
"$40,000",2000-01,Anthony Miller,ATL,AtlantaHawks
"$12,820,249",1999-00,Dikembe Mutombo,ATL,AtlantaHawks
"$5,410,000",1999-00,Isaiah Rider,ATL,AtlantaHawks
"$5,318,437",1999-00,Alan Henderson,ATL,AtlantaHawks
"$4,400,000",1999-00,Lorenzen Wright,ATL,AtlantaHawks
"$2,300,000",1999-00,Bimbo Coles,ATL,AtlantaHawks
"$2,000,000",1999-00,Chris Crawford,ATL,AtlantaHawks
"$1,925,000",1999-00,LaPhonso Ellis,ATL,AtlantaHawks
"$1,925,000",1999-00,Jim Jackson,ATL,AtlantaHawks
"$1,625,000",1999-00,Duane Ferrell,ATL,AtlantaHawks
"$1,468,920",1999-00,Jason Terry,ATL,AtlantaHawks
"$1,063,680",1999-00,Scot Pollard,ATL,AtlantaHawks
"$1,025,880",1999-00,Cal Bowdler,ATL,AtlantaHawks
"$914,760",1999-00,Roshown McLeod,ATL,AtlantaHawks
"$893,400",1999-00,Dion Glover,ATL,AtlantaHawks
"$658,700",1999-00,Efthimi Rentzias,ATL,AtlantaHawks
"$385,000",1999-00,Jeffrey Sheppard,ATL,AtlantaHawks
"$35,176",1999-00,Brandon Williams,ATL,AtlantaHawks
"$11,218,000",1998-99,Dikembe Mutombo,ATL,AtlantaHawks
"$6,300,000",1998-99,Steve Smith,ATL,AtlantaHawks
"$4,725,000",1998-99,Alan Henderson,ATL,AtlantaHawks
"$3,775,000",1998-99,Ken Norman,ATL,AtlantaHawks
"$3,600,000",1998-99,Mookie Blaylock,ATL,AtlantaHawks
"$2,977,000",1998-99,Grant Long,ATL,AtlantaHawks
"$2,400,000",1998-99,Tyrone Corbin,ATL,AtlantaHawks
"$1,750,000",1998-99,LaPhonso Ellis,ATL,AtlantaHawks
"$1,000,000",1998-99,Anthony Johnson,ATL,AtlantaHawks
"$1,000,000",1998-99,Mark West,ATL,AtlantaHawks
"$832,440",1998-99,Ed Gray,ATL,AtlantaHawks
"$740,000",1998-99,Roshown McLeod,ATL,AtlantaHawks
"$350,000",1998-99,Chris Crawford,ATL,AtlantaHawks
"$287,500",1998-99,Jeffrey Sheppard,ATL,AtlantaHawks
"$9,615,187",1997-98,Dikembe Mutombo,ATL,AtlantaHawks
"$5,400,000",1997-98,Steve Smith,ATL,AtlantaHawks
"$5,050,000",1997-98,Christian Laettner,ATL,AtlantaHawks
"$3,332,000",1997-98,Ken Norman,ATL,AtlantaHawks
"$3,000,000",1997-98,Mookie Blaylock,ATL,AtlantaHawks
"$1,028,400",1997-98,Alan Henderson,ATL,AtlantaHawks
"$723,840",1997-98,Ed Gray,ATL,AtlantaHawks
"$326,700",1997-98,Eldridge Recasner,ATL,AtlantaHawks
"$326,700",1997-98,Tyrone Corbin,ATL,AtlantaHawks
"$272,250",1997-98,Greg Anderson,ATL,AtlantaHawks
"$272,250",1997-98,Chucky Brown,ATL,AtlantaHawks
"$272,250",1997-98,Anthony Miller,ATL,AtlantaHawks
"$272,250",1997-98,Donald Whiteside,ATL,AtlantaHawks
"$242,000",1997-98,Chris Crawford,ATL,AtlantaHawks
"$8,013,000",1996-97,Dikembe Mutombo,ATL,AtlantaHawks
"$4,500,000",1996-97,Christian Laettner,ATL,AtlantaHawks
"$4,500,000",1996-97,Steve Smith,ATL,AtlantaHawks
"$2,869,000",1996-97,Ken Norman,ATL,AtlantaHawks
"$2,800,000",1996-97,Mookie Blaylock,ATL,AtlantaHawks
"$910,000",1996-97,Alan Henderson,ATL,AtlantaHawks
"$548,000",1996-97,Priest Lauderdale,ATL,AtlantaHawks
"$247,500",1996-97,Eldridge Recasner,ATL,AtlantaHawks
"$247,500",1996-97,Ivano Newbill,ATL,AtlantaHawks
"$247,500",1996-97,Tyrone Corbin,ATL,AtlantaHawks
"$247,500",1996-97,Willie Burton,ATL,AtlantaHawks
"$247,500",1996-97,Donnie Boyce,ATL,AtlantaHawks
"$247,500",1996-97,Jon Barry,ATL,AtlantaHawks
"$181,100",1996-97,Henry James,ATL,AtlantaHawks
"$3,088,000",1995-96,Blair Rasmussen,ATL,AtlantaHawks
"$2,568,000",1995-96,Steve Smith,ATL,AtlantaHawks
"$2,500,000",1995-96,Mookie Blaylock,ATL,AtlantaHawks
"$2,416,000",1995-96,Ken Norman,ATL,AtlantaHawks
"$2,160,000",1995-96,Stacey Augmon,ATL,AtlantaHawks
"$1,964,000",1995-96,Andrew Lang,ATL,AtlantaHawks
"$1,860,000",1995-96,Grant Long,ATL,AtlantaHawks
"$1,855,000",1995-96,Craig Ehlo,ATL,AtlantaHawks
"$1,800,000",1995-96,Spud Webb,ATL,AtlantaHawks
"$791,000",1995-96,Alan Henderson,ATL,AtlantaHawks
"$250,000",1995-96,Donnie Boyce,ATL,AtlantaHawks
"$225,000",1995-96,Matt Bullard,ATL,AtlantaHawks
"$225,000",1995-96,Todd Mundt,ATL,AtlantaHawks
"$2,747,500",1994-95,Blair Rasmussen,ATL,AtlantaHawks
"$2,650,000",1994-95,Craig Ehlo,ATL,AtlantaHawks
"$2,600,000",1994-95,Jon Koncak,ATL,AtlantaHawks
"$2,100,000",1994-95,Mookie Blaylock,ATL,AtlantaHawks
"$1,963,000",1994-95,Ken Norman,ATL,AtlantaHawks
"$1,935,900",1994-95,Steve Smith,ATL,AtlantaHawks
"$1,662,500",1994-95,Stacey Augmon,ATL,AtlantaHawks
"$1,600,000",1994-95,Tyrone Corbin,ATL,AtlantaHawks
"$1,596,000",1994-95,Andrew Lang,ATL,AtlantaHawks
"$1,485,300",1994-95,Grant Long,ATL,AtlantaHawks
"$845,000",1994-95,Doug Edwards,ATL,AtlantaHawks
"$250,000",1994-95,Jim Les,ATL,AtlantaHawks
"$168,000",1994-95,Sergei Bazarevich,ATL,AtlantaHawks
"$150,000",1994-95,Fred Vinson,ATL,AtlantaHawks
"$110,000",1994-95,Greg Anderson,ATL,AtlantaHawks
"$6,140",1994-95,Tom Hovasse,ATL,AtlantaHawks
"$3,500,000",1993-94,Dominique Wilkins,ATL,AtlantaHawks
"$2,900,000",1993-94,Jon Koncak,ATL,AtlantaHawks
"$2,625,000",1993-94,Kevin Willis,ATL,AtlantaHawks
"$2,457,000",1993-94,Blair Rasmussen,ATL,AtlantaHawks
"$1,630,000",1993-94,Mookie Blaylock,ATL,AtlantaHawks
"$1,445,000",1993-94,Roy Hinson,ATL,AtlantaHawks
"$1,400,000",1993-94,Stacey Augmon,ATL,AtlantaHawks
"$1,228,000",1993-94,Andrew Lang,ATL,AtlantaHawks
"$1,200,000",1993-94,Adam Keefe,ATL,AtlantaHawks
"$1,200,000",1993-94,Craig Ehlo,ATL,AtlantaHawks
"$1,025,000",1993-94,Duane Ferrell,ATL,AtlantaHawks
"$650,000",1993-94,Doug Edwards,ATL,AtlantaHawks
"$600,000",1993-94,Paul Graham,ATL,AtlantaHawks
"$250,000",1993-94,Greg Foster,ATL,AtlantaHawks
"$250,000",1993-94,Steve Henson,ATL,AtlantaHawks
"$150,000",1993-94,Ennis Whatley,ATL,AtlantaHawks
"$3,500,000",1992-93,Dominique Wilkins,ATL,AtlantaHawks
"$2,450,000",1992-93,Jon Koncak,ATL,AtlantaHawks
"$2,425,000",1992-93,Kevin Willis,ATL,AtlantaHawks
"$1,988,000",1992-93,Blair Rasmussen,ATL,AtlantaHawks
"$1,250,000",1992-93,Roy Hinson,ATL,AtlantaHawks
"$1,200,000",1992-93,Travis Mays,ATL,AtlantaHawks
"$1,138,000",1992-93,Stacey Augmon,ATL,AtlantaHawks
"$1,000,000",1992-93,Adam Keefe,ATL,AtlantaHawks
"$825,000",1992-93,Duane Ferrell,ATL,AtlantaHawks
"$660,000",1992-93,Mookie Blaylock,ATL,AtlantaHawks
"$600,000",1992-93,Maurice Cheeks,ATL,AtlantaHawks
"$500,000",1992-93,Paul Graham,ATL,AtlantaHawks
"$250,000",1992-93,Jeff Sanders,ATL,AtlantaHawks
"$250,000",1992-93,Morlon Wiley,ATL,AtlantaHawks
"$3,100,000",1991-92,Dominique Wilkins,ATL,AtlantaHawks
"$2,000,000",1991-92,Jon Koncak,ATL,AtlantaHawks
"$1,558,000",1991-92,Blair Rasmussen,ATL,AtlantaHawks
"$1,025,000",1991-92,Rumeal Robinson,ATL,AtlantaHawks
"$1,000,000",1991-92,Maurice Cheeks,ATL,AtlantaHawks
"$1,000,000",1991-92,Travis Mays,ATL,AtlantaHawks
"$875,000",1991-92,Stacey Augmon,ATL,AtlantaHawks
"$725,000",1991-92,Kevin Willis,ATL,AtlantaHawks
"$675,000",1991-92,Alexander Volkov,ATL,AtlantaHawks
"$500,000",1991-92,Duane Ferrell,ATL,AtlantaHawks
"$217,000",1991-92,Rodney Monroe,ATL,AtlantaHawks
"$130,000",1991-92,Gary Leonard,ATL,AtlantaHawks
"$125,000",1991-92,Paul Graham,ATL,AtlantaHawks
"$2,406,000",1990-91,Moses Malone,ATL,AtlantaHawks
"$2,065,000",1990-91,Dominique Wilkins,ATL,AtlantaHawks
"$1,550,000",1990-91,Jon Koncak,ATL,AtlantaHawks
"$895,000",1990-91,Doc Rivers,ATL,AtlantaHawks
"$800,000",1990-91,Rumeal Robinson,ATL,AtlantaHawks
"$775,000",1990-91,Tim McCormick,ATL,AtlantaHawks
"$685,000",1990-91,Kevin Willis,ATL,AtlantaHawks
"$650,000",1990-91,Alexander Volkov,ATL,AtlantaHawks
"$590,000",1990-91,John Battle,ATL,AtlantaHawks
"$510,000",1990-91,Sidney Moncrief,ATL,AtlantaHawks
"$510,000",1990-91,Spud Webb,ATL,AtlantaHawks
"$200,000",1990-91,Gary Leonard,ATL,AtlantaHawks
"$125,000",1990-91,Duane Ferrell,ATL,AtlantaHawks
"$1,500,000",1988-89,Moses Malone,ATL,AtlantaHawks
"$1,500,000",1988-89,Dominique Wilkins,ATL,AtlantaHawks
"$675,000",1988-89,Jon Koncak,ATL,AtlantaHawks
"$492,500",1988-89,Kevin Willis,ATL,AtlantaHawks
"$480,000",1988-89,Chris Washburn,ATL,AtlantaHawks
"$475,000",1988-89,Doc Rivers,ATL,AtlantaHawks
"$460,000",1988-89,Antoine Carr,ATL,AtlantaHawks
"$450,000",1988-89,Reggie Theus,ATL,AtlantaHawks
"$425,000",1988-89,Cliff Levingston,ATL,AtlantaHawks
"$350,000",1988-89,John Battle,ATL,AtlantaHawks
"$275,000",1988-89,Spud Webb,ATL,AtlantaHawks
"$100,000",1988-89,Dudley Bradley,ATL,AtlantaHawks
"$100,000",1988-89,Duane Ferrell,ATL,AtlantaHawks
"$100,000",1988-89,Ray Tolbert,ATL,AtlantaHawks
"$1,460,000",1987-88,Dominique Wilkins,ATL,AtlantaHawks
"$1,117,000",1987-88,Tree Rollins,ATL,AtlantaHawks
"$777,200",1987-88,Chris Washburn,ATL,AtlantaHawks
"$675,000",1987-88,Jon Koncak,ATL,AtlantaHawks
"$450,000",1987-88,Doc Rivers,ATL,AtlantaHawks
"$400,000",1987-88,Antoine Carr,ATL,AtlantaHawks
"$395,000",1987-88,Kevin Willis,ATL,AtlantaHawks
"$350,000",1987-88,Cliff Levingston,ATL,AtlantaHawks
