Lg,From,G,L,To,Plyfs,W,Div,Yrs,Champ,Conf,W/L%,Franchise
ABA,1974,252,106,1976,3,146,0,3,0,0,.579,San Antonio Spurs
ABA,1971,84,54,1971,1,30,0,1,0,0,.357,Texas Chaparrals
ABA,1968,408,206,1973,4,202,0,5,0,0,.495,Dallas Chaparrals
NBA,1996,1643,930,2016,7,713,3,21,0,0,.434,Toronto Raptors
NBA,1975,3364,1564,2016,25,1800,8,42,0,2,.535,Utah Jazz
NBA,1980,2954,1315,2016,25,1639,8,37,0,2,.555,Utah Jazz
NBA,1975,410,249,1979,0,161,0,5,0,0,.393,New Orleans Jazz
NBA,1962,4418,2433,2016,27,1985,7,55,1,4,.449,Washington Wizards
NBA,1998,1477,870,2016,6,607,0,19,0,0,.411,Washington Wizards
NBA,1975,1886,999,1997,13,887,2,23,1,3,.470,Washington Bullets
NBA,1974,82,35,1974,1,47,1,1,0,0,.573,Capital Bullets
NBA,1964,813,412,1973,7,401,4,10,0,1,.493,Baltimore Bullets
NBA,1963,80,55,1963,0,25,0,1,0,0,.313,Chicago Zephyrs
NBA,1962,80,62,1962,0,18,0,1,0,0,.225,Chicago Packers
